Freshness_Level,MQ2_mean,MQ2_std,MQ2_slope,MQ3_mean,MQ3_std,MQ3_slope,MQ9_mean,MQ9_std,MQ9_slope,MQ135_mean,MQ135_std,MQ135_slope,MQ136_mean,MQ136_std,MQ136_slope,MQ138_mean,MQ138_std,MQ138_slope,Temperature_mean,Temperature_std,Temperature_slope,Humidity_mean,Humidity_std,Humidity_slope,MQ3_over_MQ2_end,MQ136_over_MQ138_end
Pure Fresh,2.209475,0.069300988,0.018415035,25.1707,1.551926057,0.445083916,0.307633333,0.011214822,0.001123077,0.0074,0.000376386,4.41E-05,4.530933333,0.062540738,-0.006044755,4.408341667,0.087287489,0.022143007,25.45833333,0.368461516,-0.105244755,73.16666667,0.799305254,-0.20979021,11.9193101,1.001912519
Pure Fresh,2.257075,0.054532653,0.006423427,26.93795833,1.493323003,0.430620629,0.307816667,0.005287853,-0.000983217,0.007258333,0.000469855,-4.93E-05,4.531041667,0.068032804,0.002396853,4.486975,0.102272733,0.017303846,25.1,0.291547595,-0.081818182,72.33333333,0.849836586,-0.20979021,12.63430656,0.986392954
Pure Fresh,2.257641667,0.069339232,-0.004715035,28.1225,1.082881023,0.229393007,0.299966667,0.010331451,-0.002748252,0.006983333,0.000588548,-0.000134266,4.467666667,0.132600901,-0.01863986,4.449141667,0.176332326,-0.020406643,24.81666667,0.203442594,-0.057342657,73.58333333,3.35306659,0.513986014,13.04829505,1.026841735
Pure Fresh,2.216016667,0.08492627,-0.014403497,28.5296,0.70351484,-0.066544755,0.289575,0.010873755,-0.003012937,0.006608333,0.000368462,-5.21E-05,4.36085,0.184275249,-0.04346014,4.290266667,0.269688266,-0.063983916,24.54166667,0.253174292,-0.070979021,73.66666667,3.448026811,0.06993007,13.16608165,1.045567835
Pure Fresh,2.198366667,0.062167936,-0.004662238,28.68976667,0.672331937,0.018791608,0.2827,0.003966317,-0.000567832,0.006491667,0.000111492,1.64E-05,4.226733333,0.132816881,-0.029765734,4.097583333,0.207314081,-0.047851049,24.275,0.261804635,-0.073776224,73.5,3.547299442,-0.713286713,13.22579035,1.04111203
Pure Fresh,2.150966667,0.057889943,-0.007031469,28.5996,0.527676266,0.051965035,0.277891667,0.004645151,-0.000790559,0.006541667,0.000103749,1.08E-05,4.140916667,0.055129935,-0.011252448,3.9616,0.066389821,-0.012545455,24.025,0.173805447,-0.047902098,71.25,1.361677887,-0.283216783,13.82951922,1.05073414
Pure Fresh,2.123158333,0.077046484,-0.017317832,28.77994167,0.392174764,-0.053046503,0.276508333,0.004805285,-0.00096049,0.00665,0.000160728,3.71E-05,4.064533333,0.109254102,-0.024492308,3.878833333,0.116006209,-0.02685035,24.1,0.5,0.069230769,70.25,0.829156198,-0.185314685,13.58651495,1.057678502
Pure Fresh,2.101841667,0.054722291,0.006659091,28.62739167,0.306959638,0.016661888,0.275366667,0.003255337,0.000813986,0.006841667,0.000259674,7.03E-05,3.962683333,0.133783543,-0.032334965,3.753733333,0.154737161,-0.039588112,25.19166667,1.587166413,0.420629371,70.16666667,2.229848027,-0.048951049,13.16594757,1.066374625
Pure Fresh,2.131258333,0.063659988,0.013504545,28.68245,0.381236118,-0.001011888,0.275741667,0.003345758,-0.000193357,0.007083333,0.000237463,6.15E-05,3.8711,0.107220699,-0.017477622,3.6481,0.120568535,-0.022114685,26.7,1.740210715,0.482517483,71.83333333,4.355711448,0.685314685,13.16557155,1.075228537
Pure Fresh,2.148675,0.035038054,-0.004243007,28.27391667,0.684277463,-0.157704196,0.271525,0.007835084,-0.002137413,0.007275,0.000163936,3.81E-05,3.827408333,0.056381579,-0.001461888,3.583816667,0.056841077,-0.002659441,28.16666667,0.74311656,0.201398601,74.08333333,4.59090284,0.758741259,12.93257475,1.066888406
